id,neo_reference_id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,estimated_diameter_km_max,estimated_diameter_km_min,close_approach_date_full,velocity_kps,miss_distance_km,orbiting_body,date,is_sentry_object
3427459,3427459,(2008 SS),22.18,False,0.217791025,0.0973991073,2025-Oct-03 22:04,14.5278596145,17860588.568532284,Earth,2025-10-03,False
3716631,3716631,(2015 HN9),22.6,False,0.1794898848,0.0802703167,2025-Oct-03 22:24,7.7084302006,12307681.05945693,Earth,2025-10-03,False
3720000,3720000,(2015 KT120),25.1,False,0.0567596853,0.0253837029,2025-Oct-03 04:07,11.569203976,39827549.38855575,Earth,2025-10-03,False
54201807,54201807,(2021 SY3),27.0,False,0.023661375,0.0105816886,2025-Oct-03 23:05,5.9294008854,7782741.82159392,Earth,2025-10-03,False
54212590,54212590,(2021 UJ1),26.33,False,0.0322136532,0.0144063837,2025-Oct-03 18:11,22.1261472346,66740907.72580733,Earth,2025-10-03,False
54265626,54265626,(2022 FL1),29.24,False,0.0084341239,0.0037718549,2025-Oct-03 09:08,7.6817966076,71679427.62863825,Earth,2025-10-03,False
54300842,54300842,(2022 QG41),21.96,False,0.2410127282,0.1077841687,2025-Oct-03 16:41,11.9542124902,16201986.272634791,Earth,2025-10-03,False
54309253,54309253,(2022 SK21),25.6,False,0.0450858206,0.0201629919,2025-Oct-03 03:16,2.376499605,21283967.780194912,Earth,2025-10-03,False
54324411,54324411,(2022 VV),23.69,False,0.1086525639,0.0485909037,2025-Oct-03 13:30,9.0730597852,30486923.428302027,Earth,2025-10-03,False
54383301,54383301,(2023 RV12),26.2,False,0.0342010925,0.0152951935,2025-Oct-03 12:57,13.598403206,28643357.00947528,Earth,2025-10-03,True
54385247,54385247,(2023 SV1),24.13,False,0.0887237683,0.0396784754,2025-Oct-03 06:51,31.8007142527,59952516.85623488,Earth,2025-10-03,False
54417174,54417174,(2023 XJ16),19.92,False,0.6166517648,0.2757750529,2025-Oct-03 13:04,26.1780296583,71944436.91931075,Earth,2025-10-03,False
54486931,54486931,(2024 TW),28.95,False,0.0096391775,0.0043107712,2025-Oct-03 03:41,11.8351736661,7983747.398922211,Earth,2025-10-03,False
54542743,54542743,(2025 QK10),24.12,False,0.0891332986,0.0398616229,2025-Oct-03 16:11,11.8906355112,12572284.43126897,Earth,2025-10-03,False
54544998,54544998,(2025 RH2),24.9,False,0.0622357573,0.0278326768,2025-Oct-03 20:07,5.0739600306,7510308.123271404,Earth,2025-10-03,False
54546468,54546468,(2025 SV2),24.719,False,0.0676456663,0.0302520616,2025-Oct-03 04:01,7.3083145524,17692852.704784133,Earth,2025-10-03,False
54547367,54547367,(2025 SV6),27.181,False,0.0217690752,0.0097354264,2025-Oct-03 20:02,4.9699678562,1791982.530086958,Earth,2025-10-03,True
54549682,54549682,(2025 TC),27.03,False,0.0233367288,0.0104365024,2025-Oct-03 06:34,16.1451012843,85671.453875221,Earth,2025-10-03,False
54549686,54549686,(2025 SE29),22.617,False,0.1780901824,0.0796443508,2025-Oct-03 21:04,8.6438563882,4753640.452296093,Earth,2025-10-03,False
